# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Jul  8 18:53:06 CEST 2020
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: chabrier_lognormal_salpeter 
# Kind of output: isochrone tables
# Zin   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 6.00000 2.7721078396 2.7523038387    2.772  1.120  3.7309  3.637    0 1.970 3.305 2.884 2.102 1.639 1.261 0.751 0.340 0.287
0.0152 6.00000 2.8000001907 2.7528791428    2.800  1.131  3.7319  3.633    0 1.941 3.263 2.849 2.070 1.609 1.233 0.726 0.317 0.264
0.0152 6.00000 2.8091585636 2.7530651093    2.810  1.135  3.7322  3.632    0 1.932 3.249 2.837 2.059 1.599 1.224 0.718 0.310 0.257
0.0152 6.00000 2.8915665150 2.7546765804    2.892  1.182  3.7353  3.611    0 1.816 3.086 2.699 1.934 1.482 1.111 0.615 0.215 0.163
0.0152 6.00000 3.0000000000 2.7566392422    3.000  1.247  3.7399  3.579    0 1.652 2.854 2.502 1.754 1.314 0.951 0.468 0.080 0.030
0.0152 6.00000 3.1335432529 2.7588388920    3.133  1.348  3.7468  3.525    0 1.400 2.501 2.203 1.483 1.060 0.709 0.246 -0.123 -0.171
0.0152 6.00000 3.2000000477 2.7598533630    3.199  1.410  3.7510  3.489    0 1.245 2.286 2.019 1.317 0.905 0.560 0.110 -0.248 -0.294
0.0152 6.00000 3.2455117702 2.7605199814    3.245  1.459  3.7545  3.460    0 1.122 2.121 1.873 1.185 0.781 0.442 0.002 -0.348 -0.393
0.0152 6.00000 3.3013145924 2.7613081932    3.300  1.525  3.7594  3.421    0 0.956 1.895 1.674 1.007 0.615 0.284 -0.142 -0.480 -0.523
0.0152 6.00000 3.3579115868 2.7620761395    3.356  1.592  3.7649  3.384    0 0.791 1.667 1.472 0.829 0.450 0.129 -0.283 -0.606 -0.648
0.0152 6.00000 3.4000000954 2.7626278400    3.398  1.639  3.7695  3.360    0 0.672 1.500 1.324 0.700 0.332 0.019 -0.380 -0.693 -0.733
0.0152 6.00000 3.4309203625 2.7630228996    3.429  1.674  3.7730  3.343    0 0.585 1.375 1.213 0.606 0.246 -0.060 -0.450 -0.753 -0.792
0.0152 6.00000 3.4946799278 2.7638120651    3.493  1.745  3.7817  3.314    0 0.406 1.108 0.977 0.410 0.071 -0.220 -0.586 -0.869 -0.905
0.0152 6.00000 3.5396187305 2.7643480301    3.537  1.797  3.7891  3.298    0 0.278 0.914 0.803 0.269 -0.052 -0.330 -0.678 -0.944 -0.977
